,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry
71,BKNG,2245.030029296875,2053.8701171875,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
72,BWA,45.54999923706055,43.400001525878906,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
73,BXP,115.18000030517578,136.6699981689453,Boston Properties,Real Estate,Office REITs
74,BSX,41.400001525878906,44.9900016784668,Boston Scientific,Health Care,Health Care Equipment
75,BMY,57.130001068115234,63.72999954223633,Bristol Myers Squibb,Health Care,Health Care Distributors
76,AVGO,590.4000244140625,313.4599914550781,Broadcom,Information Technology,Semiconductors
77,BR,174.22000122070312,122.79000091552734,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services
78,BRO,67.05000305175781,39.36000061035156,Brown & Brown,Financials,Insurance Brokers
79,CHRW,98.29000091552734,77.54000091552734,C. H. Robinson,Industrials,Air Freight & Logistics
80,CDNS,182.77000427246094,69.98999786376953,Cadence Design Systems,Information Technology,Application Software
81,CZR,90.37999725341797,59.0099983215332,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
82,CPB,41.119998931884766,49.25,Campbell Soup,Consumer Staples,Packaged Foods & Meats
83,COF,148.5800018310547,102.63999938964844,Capital One,Financials,Consumer Finance
84,CAH,48.099998474121094,50.77000045776367,Cardinal Health,Health Care,Health Care Distributors
85,KMX,149.91000366210938,87.43000030517578,CarMax,Consumer Discretionary,Specialty Stores
86,CCL,18.5,51.02000045776367,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
87,CTLT,123.48999786376953,56.63999938964844,Catalent,Health Care,Pharmaceuticals
88,CAT,204.49000549316406,147.52000427246094,Caterpillar,Industrials,Construction Machinery & Heavy Trucks
89,CBOE,130.97000122070312,119.25,Cboe Global Markets,Financials,Financial Exchanges & Data
90,CBRE,102.30999755859375,61.040000915527344,CBRE,Real Estate,Real Estate Services
91,CDW,198.2100067138672,142.77999877929688,CDW,Information Technology,Technology Distributors
92,CE,159.85000610351562,122.69999694824219,Celanese,Materials,Specialty Chemicals
93,CNC,73.4000015258789,63.040000915527344,Centene,Health Care,Managed Health Care
94,CNP,27.8799991607666,26.90999984741211,CenterPoint Energy,Utilities,Multi-Utilities
95,CDAY,106.86000061035156,68.01000213623047,Ceridian,Information Technology,Application Software
96,CERN,73.77999877929688,73.11000061035156,Cerner,Health Care,Health Care Technology
97,CF,60.02000045776367,47.36000061035156,CF Industries,Materials,Fertilizers & Agricultural Chemicals
